X;BRCA;COAD;KIRC;LUAD;PRAD
sample_0;0;0;0;0;1
sample_1;0;0;0;1;0
sample_2;0;0;0;0;1
sample_3;0;0;0;0;1
sample_4;1;0;0;0;0
sample_5;0;0;0;0;1
sample_6;0;0;1;0;0
sample_7;0;0;0;0;1
sample_8;1;0;0;0;0
sample_9;0;0;0;0;1
sample_10;1;0;0;0;0
sample_11;0;0;1;0;0
sample_12;0;0;0;0;1
sample_13;1;0;0;0;0
sample_14;1;0;0;0;0
sample_15;1;0;0;0;0
sample_16;0;0;0;1;0
sample_17;0;0;1;0;0
sample_18;0;0;1;0;0
sample_19;0;0;0;0;1
sample_20;1;0;0;0;0
sample_21;0;0;1;0;0
sample_22;0;0;0;1;0
sample_23;1;0;0;0;0
sample_24;0;0;1;0;0
sample_25;0;0;0;1;0
sample_26;0;1;0;0;0
sample_27;1;0;0;0;0
sample_28;1;0;0;0;0
sample_29;1;0;0;0;0
sample_30;1;0;0;0;0
sample_31;1;0;0;0;0
sample_32;0;0;1;0;0
sample_33;1;0;0;0;0
sample_34;0;0;0;0;1
sample_35;1;0;0;0;0
sample_36;0;0;1;0;0
sample_37;0;0;0;1;0
sample_38;1;0;0;0;0
sample_39;1;0;0;0;0
sample_40;0;0;1;0;0
sample_41;0;0;0;0;1
sample_42;0;0;0;0;1
sample_43;0;0;1;0;0
sample_44;0;0;1;0;0
sample_45;1;0;0;0;0
sample_46;0;0;0;0;1
sample_47;0;1;0;0;0
sample_48;1;0;0;0;0
sample_49;0;0;0;1;0
sample_50;1;0;0;0;0
sample_51;0;0;0;1;0
sample_52;1;0;0;0;0
sample_53;0;0;0;0;1
sample_54;0;1;0;0;0
sample_55;1;0;0;0;0
sample_56;1;0;0;0;0
sample_57;0;1;0;0;0
sample_58;0;0;1;0;0
sample_59;1;0;0;0;0
sample_60;0;0;0;1;0
sample_61;0;0;1;0;0
sample_62;1;0;0;0;0
sample_63;0;0;0;1;0
sample_64;0;0;0;0;1
sample_65;0;1;0;0;0
sample_66;1;0;0;0;0
sample_67;0;0;0;0;1
sample_68;0;0;1;0;0
sample_69;1;0;0;0;0
sample_70;0;0;1;0;0
sample_71;1;0;0;0;0
sample_72;1;0;0;0;0
sample_73;0;0;0;1;0
sample_74;1;0;0;0;0
sample_75;0;0;0;1;0
sample_76;1;0;0;0;0
sample_77;0;0;1;0;0
sample_78;0;0;0;0;1
sample_79;0;1;0;0;0
sample_80;1;0;0;0;0
sample_81;0;0;0;0;1
sample_82;1;0;0;0;0
sample_83;1;0;0;0;0
sample_84;0;0;0;0;1
sample_85;0;0;0;0;1
sample_86;1;0;0;0;0
sample_87;1;0;0;0;0
sample_88;0;0;1;0;0
sample_89;1;0;0;0;0
sample_90;0;0;0;0;1
sample_91;0;0;0;0;1
sample_92;1;0;0;0;0
sample_93;1;0;0;0;0
sample_94;1;0;0;0;0
sample_95;0;0;0;0;1
sample_96;0;1;0;0;0
sample_97;1;0;0;0;0
sample_98;0;0;0;0;1
sample_99;1;0;0;0;0
sample_100;1;0;0;0;0
sample_101;0;0;1;0;0
sample_102;1;0;0;0;0
sample_103;0;0;1;0;0
sample_104;0;0;0;1;0
sample_105;0;0;1;0;0
sample_106;0;0;0;1;0
sample_107;0;1;0;0;0
sample_108;0;0;0;1;0
sample_109;0;0;0;1;0
sample_110;0;0;0;0;1
sample_111;1;0;0;0;0
sample_112;0;0;0;1;0
sample_113;0;0;0;0;1
sample_114;1;0;0;0;0
sample_115;0;0;1;0;0
sample_116;0;0;1;0;0
sample_117;0;0;1;0;0
sample_118;1;0;0;0;0
sample_119;1;0;0;0;0
sample_120;0;0;0;1;0
sample_121;0;0;1;0;0
sample_122;0;0;0;1;0
sample_123;1;0;0;0;0
sample_124;0;0;0;0;1
sample_125;0;0;0;0;1
sample_126;0;0;0;0;1
sample_127;1;0;0;0;0
sample_128;0;0;1;0;0
sample_129;0;0;0;1;0
sample_130;0;1;0;0;0
sample_131;1;0;0;0;0
sample_132;0;1;0;0;0
sample_133;1;0;0;0;0
sample_134;1;0;0;0;0
sample_135;0;0;1;0;0
sample_136;0;0;0;1;0
sample_137;1;0;0;0;0
sample_138;0;0;1;0;0
sample_139;0;1;0;0;0
sample_140;1;0;0;0;0
sample_141;0;0;0;0;1
sample_142;1;0;0;0;0
sample_143;0;0;1;0;0
sample_144;0;0;0;1;0
sample_145;0;1;0;0;0
sample_146;0;0;0;0;1
sample_147;1;0;0;0;0
sample_148;0;0;0;1;0
sample_149;0;0;0;1;0
sample_150;0;0;0;1;0
sample_151;0;0;0;1;0
sample_152;1;0;0;0;0
sample_153;1;0;0;0;0
sample_154;0;0;0;1;0
sample_155;1;0;0;0;0
sample_156;1;0;0;0;0
sample_157;0;0;0;0;1
sample_158;0;0;0;0;1
sample_159;0;0;0;1;0
sample_160;0;0;0;0;1
sample_161;0;0;0;1;0
sample_162;0;0;1;0;0
sample_163;1;0;0;0;0
sample_164;0;0;0;0;1
sample_165;0;0;0;1;0
sample_166;0;1;0;0;0
sample_167;0;0;1;0;0
sample_168;0;0;0;1;0
sample_169;1;0;0;0;0
sample_170;0;0;1;0;0
sample_171;0;0;0;1;0
sample_172;1;0;0;0;0
sample_173;0;0;0;1;0
sample_174;1;0;0;0;0
sample_175;1;0;0;0;0
sample_176;1;0;0;0;0
sample_177;0;0;0;0;1
sample_178;1;0;0;0;0
sample_179;0;0;1;0;0
sample_180;0;1;0;0;0
sample_181;0;0;1;0;0
sample_182;1;0;0;0;0
sample_183;0;0;0;0;1
sample_184;0;0;0;0;1
sample_185;0;0;0;0;1
sample_186;0;0;0;1;0
sample_187;0;0;0;1;0
sample_188;1;0;0;0;0
sample_189;0;0;0;1;0
sample_190;0;0;0;1;0
sample_191;0;0;1;0;0
sample_192;0;0;0;1;0
sample_193;0;0;0;0;1
sample_194;0;0;0;1;0
sample_195;1;0;0;0;0
sample_196;1;0;0;0;0
sample_197;1;0;0;0;0
sample_198;0;0;0;1;0
sample_199;0;0;0;1;0
sample_200;1;0;0;0;0
sample_201;0;0;1;0;0
sample_202;0;0;1;0;0
sample_203;0;0;1;0;0
sample_204;0;0;1;0;0
sample_205;0;0;0;0;1
sample_206;1;0;0;0;0
sample_207;0;0;0;0;1
sample_208;1;0;0;0;0
sample_209;0;0;0;1;0
sample_210;0;0;0;1;0
sample_211;1;0;0;0;0
sample_212;0;0;0;0;1
sample_213;1;0;0;0;0
sample_214;0;0;0;0;1
sample_215;1;0;0;0;0
sample_216;1;0;0;0;0
sample_217;1;0;0;0;0
sample_218;0;0;0;1;0
sample_219;1;0;0;0;0
sample_220;0;0;1;0;0
sample_221;0;0;0;1;0
sample_222;0;0;1;0;0
sample_223;0;0;1;0;0
sample_224;0;0;0;1;0
sample_225;1;0;0;0;0
sample_226;0;0;1;0;0
sample_227;0;0;0;0;1
sample_228;1;0;0;0;0
sample_229;0;0;0;1;0
sample_230;0;0;0;1;0
sample_231;0;0;0;0;1
sample_232;0;1;0;0;0
sample_233;1;0;0;0;0
sample_234;0;0;1;0;0
sample_235;0;0;0;0;1
sample_236;0;0;1;0;0
sample_237;0;1;0;0;0
sample_238;1;0;0;0;0
sample_239;0;0;1;0;0
sample_240;0;0;1;0;0
sample_241;0;0;0;1;0
sample_242;0;0;0;0;1
sample_243;0;0;0;0;1
sample_244;0;0;0;1;0
sample_245;0;0;0;1;0
sample_246;0;0;1;0;0
sample_247;1;0;0;0;0
sample_248;1;0;0;0;0
sample_249;0;1;0;0;0
sample_250;1;0;0;0;0
sample_251;0;0;0;0;1
sample_252;0;1;0;0;0
sample_253;1;0;0;0;0
sample_254;0;0;0;0;1
sample_255;0;0;1;0;0
sample_256;0;0;0;0;1
sample_257;0;0;0;0;1
sample_258;0;0;0;0;1
sample_259;1;0;0;0;0
sample_260;0;1;0;0;0
sample_261;0;1;0;0;0
sample_262;0;0;0;1;0
sample_263;0;1;0;0;0
sample_264;0;1;0;0;0
sample_265;0;0;0;0;1
sample_266;0;0;0;1;0
sample_267;1;0;0;0;0
sample_268;1;0;0;0;0
sample_269;0;0;1;0;0
sample_270;0;0;1;0;0
sample_271;1;0;0;0;0
sample_272;0;1;0;0;0
sample_273;0;0;0;0;1
sample_274;0;0;1;0;0
sample_275;0;0;0;0;1
sample_276;1;0;0;0;0
sample_277;1;0;0;0;0
sample_278;0;0;1;0;0
sample_279;1;0;0;0;0
sample_280;1;0;0;0;0
sample_281;1;0;0;0;0
sample_282;1;0;0;0;0
sample_283;0;0;0;1;0
sample_284;0;0;0;1;0
sample_285;1;0;0;0;0
sample_286;1;0;0;0;0
sample_287;1;0;0;0;0
sample_288;0;0;1;0;0
sample_289;0;0;1;0;0
sample_290;0;0;1;0;0
sample_291;0;0;1;0;0
sample_292;1;0;0;0;0
sample_293;1;0;0;0;0
sample_294;1;0;0;0;0
sample_295;0;0;1;0;0
sample_296;1;0;0;0;0
sample_297;1;0;0;0;0
sample_298;0;0;0;1;0
sample_299;0;0;0;0;1
sample_300;1;0;0;0;0
sample_301;1;0;0;0;0
sample_302;0;1;0;0;0
sample_303;0;0;0;1;0
